{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV_ROOFTOP;PV_UTILITY;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;DHN_SOLAR;DEC_SOLAR;PT_COLLECTOR;ST_COLLECTOR
7348;0.000113469503568267;0.000299035285186137;9.93E-05;1.41E-05;0.000114155;0;0;0.130153273714224;0.376851344326482;0.721818210950326;0.721818210950326;0.078600179;0;0;0;0
7349;0.000116187506538345;0.000325092647174741;9.75E-05;3.76E-05;0.000114155;0;0;0.0369532982829933;0.391646657073914;0.721818210950326;0.721818210950326;0.023356394;0;0;0;0
7350;0.000123296885425845;0.000517758144562465;9.63E-05;9.40E-05;0.000114155;0;0;0.0029546885328608;0.394244669116553;0.721818210950326;0.721818210950326;0.00109315;0;0;0;0
7351;0.000125322515137246;0.000467539380346458;9.70E-05;0.0001821;0.000114155;0.1376762192288;0.1376762192288;0.00331606918408615;0.387969488665596;0.721818210950326;0.721818210950326;0.001523948;2.47E-05;2.47E-05;0.0000247;0.0000247
7352;0.000130980852567581;0;0.000106234983800829;0.000158603;0.000114155;0.429363124374446;0.429363124374446;0.00953877934278387;0.377710302621849;0.721818210950326;0.721818210950326;0.032819472;0.0158531757246521;0.0158531757246521;0.0158531757246521;0.0158531757246521
7353;0.000136731453699688;0;0.000120848425291733;0.000146855;0.000114155;0.728050515243753;0.728050515243753;0.0174166884999231;0.371537556083347;0.721818210950326;0.721818210950326;0.054892525;0.12939117997818;0.12939117997818;0.12939117997818;0.12939117997818
7354;0.000140558300601002;0;0.000131639369355536;0.000164478;0.000114155;1.05007285852452;1.05007285852452;0.0147972301439618;0.371349644438958;0.721818210950326;0.721818210950326;0.039629284;0.305226997516082;0.305226997516082;0.305226997516082;0.305226997516082
7355;0.000145159662050813;0;0.000141652282969639;0.000187974;0.000114155;1.28983949455443;1.28983949455443;0.0099886935275701;0.365468869392417;0.721818210950326;0.721818210950326;0.016292758;0.458279443218784;0.458279443218784;0.458279443218784;0.458279443218784
7356;0.000148867122753351;0;0.000149178881885641;0.000206772;0.000114155;1.39718027564812;1.39718027564812;0.00567748852230237;0.354540030356366;0.721818210950326;0.721818210950326;0.001337349;0.565510667300497;0.565510667300497;0.565510667300497;0.565510667300497
7357;0.00014799739341854;0;0.000151766678816342;0.000187974;0.000114155;1.37267857561574;1.37267857561574;0.003046372725979;0.343581924488184;0.721818210950326;0.721818210950326;0.016420544;0.614631856505177;0.614631856505177;0.614631856505177;0.614631856505177
7358;0.000149204517472407;0;0.000150126049389741;0.000190324;0.000114155;1.2420028421106;1.2420028421106;0.00236141933821622;0.338765904667702;0.721818210950326;0.721818210950326;0.0804645;0.603238759600793;0.603238759600793;0.603238759600793;0.603238759600793
7359;0.000152256546608436;0;0.00014383415097004;0.000213821;0.000114155;1.04307237280102;1.04307237280102;0.00358545057623757;0.334369840660639;0.721818210950326;0.721818210950326;0.100111263;0.529274958586283;0.529274958586283;0.529274958586283;0.529274958586283
7360;0.000152886385409998;0;0.000136206069821438;0.00022322;0.000114155;0.75371896289647;0.75371896289647;0.00808411982516622;0.338780770360213;0.721818210950326;0.721818210950326;0.065138398;0.399278075054916;0.399278075054916;0.399278075054916;0.399278075054916
7361;0.000150519097888589;0;0.000125432039463035;0.00022322;0.000114155;0.375692733827458;0.375692733827458;0.0179099242536225;0.354513783118027;0.721818210950326;0.721818210950326;0.019439326;0.233667707915514;0.233667707915514;0.233667707915514;0.233667707915514
7362;0.000146298864270475;0;0.000114421217228632;0.000164478;0.000114155;0.033252307186617;0.033252307186617;0.0361380651225351;0.370628658352203;0.721818210950326;0.721818210950326;0.001024491;0.0693162611074866;0.0693162611074866;0.0693162611074866;0.0693162611074866
7363;0.000158379490866762;0;0.00010877203961523;0.000117484;0.000114155;0;0;0.101131760866801;0.386386060136792;0.721818210950326;0.721818210950326;0.000944379;0.00126328338210431;0.00126328338210431;0.00126328338210431;0.00126328338210431
7364;0.000161348547173222;0;0.000107046841661529;8.81E-05;0.000114155;0;0;0.207268029374459;0.408688315325535;0.721818210950326;0.721818210950326;0.025569897;0;0;0;0
7365;0.000159015332704651;0;0.000105981278219429;5.87E-05;0.000114155;0;0;0.328503203678693;0.44007397319103;0.721818210950326;0.721818210950326;0.045296952;0;0;0;0
7366;0.000145778733317642;0;0.000105270902591429;3.76E-05;0.000114155;0;0;0.42801316253836;0.464974240422277;0.721818210950326;0.721818210950326;0.034002302;0;0;0;0
7367;0.000136491567120296;0;0.000103579532048529;2.35E-05;0.000114155;0;0;0.499256979179256;0.47423626368563;0.721818210950326;0.721818210950326;0.014810679;0;0;0;0
7368;0.000128152882317275;0;0.000102277176730428;9.40E-06;0.000114155;0;0;0.535477276516171;0.479571189085112;0.721818210950326;0.721818210950326;0.001337349;0;0;0;0
7369;0.000120230284836764;0;0.000101752851862128;5.87E-06;0.000114155;0;0;0.552675466775709;0.492941950392574;0.75577086643244;0.75577086643244;0.012941813;0;0;0;0
7370;0.000116131983136607;0.000155573434748519;0.000101668283335028;2.35E-06;0.000114155;0;0;0.576208845740376;0.508844757232003;0.75577086643244;0.75577086643244;0.065594284;0;0;0;0
7371;0.000113247229916284;0.000443770060449355;0.000100974821412428;1.17E-06;0.000114155;0;0;0.646302829175951;0.5214796667601;0.75577086643244;0.75577086643244;0.081082109;0;0;0;0
7372;0.000111942924066204;0.00048164628774896;0.000100501237660328;1.41E-05;0.000114155;0;0;0.749265280778682;0.527396909208697;0.75577086643244;0.75577086643244;0.053308732;0;0;0;0
7373;0.000114533976730882;0.000515067278158964;9.97E-05;3.76E-05;0.000114155;0;0;0.797540001581939;0.514887428960861;0.75577086643244;0.75577086643244;0.015986684;0;0;0;0
7374;0.000120960027128765;0.000544981011560168;9.77E-05;9.40E-05;0.000114155;0;0;0.782698189605249;0.491247958275589;0.75577086643244;0.75577086643244;0.000958769;0;0;0;0
7375;0.000123002506186365;0.000493287910362662;9.73E-05;0.0001821;0.000114155;0.235099645547485;0.235099645547485;0.491624191335676;0.461852444995111;0.75577086643244;0.75577086643244;0.000534273;1.68E-05;1.68E-05;0.0000168;0.0000168
7376;0.000128248656278451;0;0.000104188425443929;0.000158603;0.000114155;0.729800636674554;0.729800636674554;0.450411988996283;0.430754809922121;0.75577086643244;0.75577086643244;0.019475192;0.0150981677666911;0.0150981677666911;0.0150981677666911;0.0150981677666911
7377;0.000133971064217671;0;0.000113355653786531;0.000146855;0.000114155;1.10666011812294;1.10666011812294;0.890639155907464;0.406207138334969;0.75577086643244;0.75577086643244;0.036890332;0.102048329814916;0.102048329814916;0.102048329814916;0.102048329814916
7378;0.000138145530207529;0;0.000122810415121534;0.000164478;0.000114155;1.34817687558365;1.34817687558365;0.971004289500043;0.387964378583796;0.75577086643244;0.75577086643244;0.028934895;0.226721300468617;0.226721300468617;0.226721300468617;0.226721300468617
7379;0.000143284014043109;0;0.000131148871898136;0.000187974;0.000114155;1.49285358053578;1.49285358053578;0.992901215890393;0.397845418574309;0.75577086643244;0.75577086643244;0.013421319;0.356109308228457;0.356109308228457;0.356109308228457;0.356109308228457
