Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);"[MUSD/GW]
[MUSD/GWh] 
[MUSD/(Mkmpass/h)] 
[MUSD/(Mtonkm/h)]";"[MUSD/GW]
[MUSD/GWh] 
[MUSD/(Mkmpass/h)] 
[MUSD/(Mtonkm/h)]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];
Storage;Other storage;Hydrogen storage;H2_STORAGE ;8.726043;0.5508;0;20;1;0;1;0;1000000000000000;
Storage;Other storage;Diesel storage;DIESEL_STORAGE ;0.014097;0;0;20;1;0;1;0;1000000000000000;
Storage;Other storage;Gasoline storage;GASOLINE_STORAGE ;0.014097;0;0;20;1;0;1;0;1000000000000000;
Storage;Other storage;LFO storage;LFO_STORAGE ;0.014097;0;0;20;1;0;1;0;1000000000000000;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE ;0.014097;0;0;20;1;0;1;0;1000000000000000;
Storage;Other storage;Methanol storage;METHANOL_STORAGE ;0.014097;0;0;20;1;0;1;0;1000000000000000;
Storage;Other storage;Parabolic trough storage;PT_STORAGE;52.102512;0.521589;0;25;1;0;1;0;1000000000000000;
Storage;Other storage;Solar tower storage;ST_STORAGE;26.92527;0.267843;0;25;1;0;1;0;1000000000000000;
Storage;Thermal storage;Space cooling storage;TS_COLD;35.3099;0.42291;0;20;1;0;1;0;1000000000000000;
Storage;Other storage;CO2 storage;CO2_STORAGE;69.78015;0.6978015;0;20;1;0;1;0;1000000000000000;
